year,state_from,state_population_same_one_year_plus,state_population_same_house_one_year,state_population_same_state_one_year,state_population_different_state_residence_one_year,state_to,migration,total_migration_population,pct_migrated
2010,Arizona,6332786,5069002,1001991,222725,South Dakota,1351,261793,0.005160565790529158
2010,Arizona,6332786,5069002,1001991,222725,Tennessee,3061,261793,0.011692444030207073
2010,Arizona,6332786,5069002,1001991,222725,Texas,14705,261793,0.056170333049393985
2010,Arizona,6332786,5069002,1001991,222725,Utah,7164,261793,0.027365131993597996
2010,Arizona,6332786,5069002,1001991,222725,Vermont,664,261793,0.0025363550591497863
2010,Arizona,6332786,5069002,1001991,222725,Virginia,3413,261793,0.013037017796503344
2010,Arizona,6332786,5069002,1001991,222725,Washington,12645,261793,0.04830152066709194
2010,Arizona,6332786,5069002,1001991,222725,West Virginia,595,261793,0.002272788042461028
2010,Arizona,6332786,5069002,1001991,222725,Wisconsin,5556,261793,0.021222874561199114
2010,Arizona,6332786,5069002,1001991,222725,Wyoming,593,261793,0.0022651484187888905
2010,Arizona,6332786,5069002,1001991,222725,Puerto Rico,599,261793,0.0022880672898053043
2010,Arizona,6332786,5069002,1001991,222725,U S Island Area,223,261793,8.51818039443377e-4
2010,Arizona,6332786,5069002,1001991,222725,Foreign Country,38246,261793,0.14609252348229326
2010,Arkansas,2888304,2387806,412997,79127,Alabama,1405,87501,0.01605695934903601
2010,Arkansas,2888304,2387806,412997,79127,Alaska,934,87501,0.010674163723843156
2010,Arkansas,2888304,2387806,412997,79127,Arizona,777,87501,0.008879898515445538
2010,Arkansas,2888304,2387806,412997,79127,Arkansas,NA,87501,NA
2010,Arkansas,2888304,2387806,412997,79127,California,4457,87501,0.050936560725020286
2010,Arkansas,2888304,2387806,412997,79127,Colorado,2535,87501,0.028971097473171736
2010,Arkansas,2888304,2387806,412997,79127,Connecticut,451,87501,0.0051542268088364705
2010,Arkansas,2888304,2387806,412997,79127,Delaware,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,District of Columbia,154,87501,0.0017599798859441605
2010,Arkansas,2888304,2387806,412997,79127,Florida,3578,87501,0.04089096124615719
2010,Arkansas,2888304,2387806,412997,79127,Georgia,3921,87501,0.04481091644666918
2010,Arkansas,2888304,2387806,412997,79127,Hawaii,129,87501,0.00147426886549868
2010,Arkansas,2888304,2387806,412997,79127,Idaho,618,87501,0.007062776425412281
2010,Arkansas,2888304,2387806,412997,79127,Illinois,3221,87501,0.03681100787419572
2010,Arkansas,2888304,2387806,412997,79127,Indiana,722,87501,0.00825133427046548
2010,Arkansas,2888304,2387806,412997,79127,Iowa,85,87501,9.714174695146341e-4
2010,Arkansas,2888304,2387806,412997,79127,Kansas,3611,87501,0.04126809979314522
2010,Arkansas,2888304,2387806,412997,79127,Kentucky,2540,87501,0.02902823967726083
2010,Arkansas,2888304,2387806,412997,79127,Louisiana,4012,87501,0.04585090456109073
2010,Arkansas,2888304,2387806,412997,79127,Maine,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,Maryland,306,87501,0.003497102890252683
2010,Arkansas,2888304,2387806,412997,79127,Massachusetts,190,87501,0.0021714037553856526
2010,Arkansas,2888304,2387806,412997,79127,Michigan,1506,87501,0.017211231871635754
2010,Arkansas,2888304,2387806,412997,79127,Minnesota,222,87501,0.002537113861555868
2010,Arkansas,2888304,2387806,412997,79127,Mississippi,2764,87501,0.03158821042045234
2010,Arkansas,2888304,2387806,412997,79127,Missouri,7320,87501,0.08365618678643673
2010,Arkansas,2888304,2387806,412997,79127,Montana,85,87501,9.714174695146341e-4
2010,Arkansas,2888304,2387806,412997,79127,Nebraska,394,87501,0.004502805682220775
2010,Arkansas,2888304,2387806,412997,79127,Nevada,67,87501,7.657055347938881e-4
2010,Arkansas,2888304,2387806,412997,79127,New Hampshire,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,New Jersey,77,87501,8.799899429720803e-4
2010,Arkansas,2888304,2387806,412997,79127,New Mexico,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,New York,289,87501,0.003302819396349756
2010,Arkansas,2888304,2387806,412997,79127,North Carolina,1561,87501,0.01783979611661581
2010,Arkansas,2888304,2387806,412997,79127,North Dakota,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,Ohio,1137,87501,0.012994137209860458
2010,Arkansas,2888304,2387806,412997,79127,Oklahoma,8607,87501,0.09836459011897007
2010,Arkansas,2888304,2387806,412997,79127,Oregon,239,87501,0.0027313973554587948
2010,Arkansas,2888304,2387806,412997,79127,Pennsylvania,731,87501,0.008354190237825854
2010,Arkansas,2888304,2387806,412997,79127,Rhode Island,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,South Carolina,1496,87501,0.017096947463457562
2010,Arkansas,2888304,2387806,412997,79127,South Dakota,243,87501,0.002777111118730072
2010,Arkansas,2888304,2387806,412997,79127,Tennessee,2653,87501,0.030319653489674404
2010,Arkansas,2888304,2387806,412997,79127,Texas,13707,87501,0.15664963828984813
2010,Arkansas,2888304,2387806,412997,79127,Utah,361,87501,0.00412566713523274
2010,Arkansas,2888304,2387806,412997,79127,Vermont,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,Virginia,494,87501,0.005645649764002697
2010,Arkansas,2888304,2387806,412997,79127,Washington,264,87501,0.0030171083759042753
2010,Arkansas,2888304,2387806,412997,79127,West Virginia,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,Wisconsin,821,87501,0.009382749911429584
2010,Arkansas,2888304,2387806,412997,79127,Wyoming,443,87501,0.005062799282293916
2010,Arkansas,2888304,2387806,412997,79127,Puerto Rico,87,87501,9.942743511502726e-4
2010,Arkansas,2888304,2387806,412997,79127,U S Island Area,0,87501,0
2010,Arkansas,2888304,2387806,412997,79127,Foreign Country,8287,87501,0.09470748905726792
2010,California,36907897,30790221,5413287,444749,Alabama,3364,704389,0.004775770206519409
2010,California,36907897,30790221,5413287,444749,Alaska,9579,704389,0.013599019859764987
2010,California,36907897,30790221,5413287,444749,Arizona,33854,704389,0.04806151146596554
2010,California,36907897,30790221,5413287,444749,Arkansas,4172,704389,0.005922863644946187
2010,California,36907897,30790221,5413287,444749,California,NA,704389,NA
2010,California,36907897,30790221,5413287,444749,Colorado,15662,704389,0.022234873060198272
2010,California,36907897,30790221,5413287,444749,Connecticut,4631,704389,0.006574492219498033
2010,California,36907897,30790221,5413287,444749,Delaware,643,704389,9.12847872411409e-4
2010,California,36907897,30790221,5413287,444749,District of Columbia,3683,704389,0.005228644967482456
2010,California,36907897,30790221,5413287,444749,Florida,20362,704389,0.02890732251639364
2010,California,36907897,30790221,5413287,444749,Georgia,8820,704389,0.01252149025609429
2010,California,36907897,30790221,5413287,444749,Hawaii,9528,704389,0.013526616684814783
2010,California,36907897,30790221,5413287,444749,Idaho,5719,704389,0.008119093285102408
2010,California,36907897,30790221,5413287,444749,Illinois,16482,704389,0.023399002539789805
2010,California,36907897,30790221,5413287,444749,Indiana,6550,704389,0.009298839135761633
2010,California,36907897,30790221,5413287,444749,Iowa,3163,704389,0.0044904165170097776
2010,California,36907897,30790221,5413287,444749,Kansas,3857,704389,0.005475667564371392
2010,California,36907897,30790221,5413287,444749,Kentucky,3394,704389,0.004818360309431295
2010,California,36907897,30790221,5413287,444749,Louisiana,2989,704389,0.004243393920120842
2010,California,36907897,30790221,5413287,444749,Maine,1796,704389,0.0025497274943248687
2010,California,36907897,30790221,5413287,444749,Maryland,10626,704389,0.015085414451389787
2010,California,36907897,30790221,5413287,444749,Massachusetts,11969,704389,0.016992031391745186
2010,California,36907897,30790221,5413287,444749,Michigan,10435,704389,0.014814257462850783
2010,California,36907897,30790221,5413287,444749,Minnesota,5095,704389,0.007233219144535193
2010,California,36907897,30790221,5413287,444749,Mississippi,2757,704389,0.003914030457602262
2010,California,36907897,30790221,5413287,444749,Missouri,6921,704389,0.009825536741771947
2010,California,36907897,30790221,5413287,444749,Montana,3009,704389,0.004271787322062099
2010,California,36907897,30790221,5413287,444749,Nebraska,3062,704389,0.00434702983720643
2010,California,36907897,30790221,5413287,444749,Nevada,27724,704389,0.0393589337709703
2010,California,36907897,30790221,5413287,444749,New Hampshire,1614,704389,0.002291347536659431
2010,California,36907897,30790221,5413287,444749,New Jersey,10108,704389,0.014350025341111232
2010,California,36907897,30790221,5413287,444749,New Mexico,4632,704389,0.006575911889595096
2010,California,36907897,30790221,5413287,444749,New York,20981,704389,0.02978609830647554
2010,California,36907897,30790221,5413287,444749,North Carolina,9593,704389,0.013618895241123868
2010,California,36907897,30790221,5413287,444749,North Dakota,392,704389,5.565106780486351e-4
2010,California,36907897,30790221,5413287,444749,Ohio,8170,704389,0.01159870469300344
2010,California,36907897,30790221,5413287,444749,Oklahoma,5708,704389,0.008103476914034716
2010,California,36907897,30790221,5413287,444749,Oregon,20913,704389,0.02968956073987527
2010,California,36907897,30790221,5413287,444749,Pennsylvania,9948,704389,0.014122878125581178
2010,California,36907897,30790221,5413287,444749,Rhode Island,526,704389,7.467464710550562e-4
2010,California,36907897,30790221,5413287,444749,South Carolina,5016,704389,0.007121065206867228
2010,California,36907897,30790221,5413287,444749,South Dakota,1604,704389,0.002277150835688803
2010,California,36907897,30790221,5413287,444749,Tennessee,4349,704389,0.006174145252126311
2010,California,36907897,30790221,5413287,444749,Texas,36582,704389,0.05193437149075298
2010,California,36907897,30790221,5413287,444749,Utah,10653,704389,0.015123745544010483
2010,California,36907897,30790221,5413287,444749,Vermont,525,704389,7.453268009579933e-4
2010,California,36907897,30790221,5413287,444749,Virginia,14232,704389,0.020204744821398404
2010,California,36907897,30790221,5413287,444749,Washington,30544,704389,0.043362403444687524
2010,California,36907897,30790221,5413287,444749,West Virginia,1446,704389,0.002052842960352873
2010,California,36907897,30790221,5413287,444749,Wisconsin,6031,704389,0.008562030355386016
2010,California,36907897,30790221,5413287,444749,Wyoming,1336,704389,0.0018966792496759603
2010,California,36907897,30790221,5413287,444749,Puerto Rico,1223,704389,0.0017362565287078588
2010,California,36907897,30790221,5413287,444749,U S Island Area,5123,704389,0.007272969907252952
2010,California,36907897,30790221,5413287,444749,Foreign Country,253294,704389,0.3595939175654361
2010,Colorado,4988190,4042039,725413,186366,Alabama,954,220738,0.004321865741286049
2010,Colorado,4988190,4042039,725413,186366,Alaska,2225,220738,0.01007982313874367
2010,Colorado,4988190,4042039,725413,186366,Arizona,12287,220738,0.055663275013817286
2010,Colorado,4988190,4042039,725413,186366,Arkansas,1034,220738,0.004684286348521777
2010,Colorado,4988190,4042039,725413,186366,California,26089,220738,0.11818989027716116
2010,Colorado,4988190,4042039,725413,186366,Colorado,NA,220738,NA
2010,Colorado,4988190,4042039,725413,186366,Connecticut,459,220738,0.002079388234014986
2010,Colorado,4988190,4042039,725413,186366,Delaware,486,220738,0.002201705188957044
2010,Colorado,4988190,4042039,725413,186366,District of Columbia,479,220738,0.002169993385823918
2010,Colorado,4988190,4042039,725413,186366,Florida,8849,220738,0.0400882494178619
2010,Colorado,4988190,4042039,725413,186366,Georgia,6445,220738,0.02919751017042829
2010,Colorado,4988190,4042039,725413,186366,Hawaii,2355,220738,0.010668756625501727
2010,Colorado,4988190,4042039,725413,186366,Idaho,839,220738,0.0038008861183846912
2010,Colorado,4988190,4042039,725413,186366,Illinois,6950,220738,0.03148529025360382
2010,Colorado,4988190,4042039,725413,186366,Indiana,3296,220738,0.01493172901811197
2010,Colorado,4988190,4042039,725413,186366,Iowa,2140,220738,0.009694751243555708
2010,Colorado,4988190,4042039,725413,186366,Kansas,4308,220738,0.01951634969964392
2010,Colorado,4988190,4042039,725413,186366,Kentucky,1961,220738,0.00888383513486577
2010,Colorado,4988190,4042039,725413,186366,Louisiana,968,220738,0.004385289347552302
2010,Colorado,4988190,4042039,725413,186366,Maine,532,220738,0.0024100970381175876
2010,Colorado,4988190,4042039,725413,186366,Maryland,1532,220738,0.00694035462856418
2010,Colorado,4988190,4042039,725413,186366,Massachusetts,2242,220738,0.01015683751778126
2010,Colorado,4988190,4042039,725413,186366,Michigan,4587,220738,0.020780291567378522
2010,Colorado,4988190,4042039,725413,186366,Minnesota,2878,220738,0.013038081345305295
2010,Colorado,4988190,4042039,725413,186366,Mississippi,1277,220738,0.005785138943000299
2010,Colorado,4988190,4042039,725413,186366,Missouri,1978,220738,0.00896084951390336
2010,Colorado,4988190,4042039,725413,186366,Montana,2042,220738,0.009250785999691943
2010,Colorado,4988190,4042039,725413,186366,Nebraska,4065,220738,0.0184154971051654
2010,Colorado,4988190,4042039,725413,186366,Nevada,4131,220738,0.018714494106134873
2010,Colorado,4988190,4042039,725413,186366,New Hampshire,791,220738,0.003583433754043255
2010,Colorado,4988190,4042039,725413,186366,New Jersey,1259,220738,0.00570359430637226
2010,Colorado,4988190,4042039,725413,186366,New Mexico,3921,220738,0.01776314001214109
2010,Colorado,4988190,4042039,725413,186366,New York,4594,220738,0.020812003370511648
2010,Colorado,4988190,4042039,725413,186366,North Carolina,2940,220738,0.013318957315912983
2010,Colorado,4988190,4042039,725413,186366,North Dakota,802,220738,0.0036332665875381674
2010,Colorado,4988190,4042039,725413,186366,Ohio,2838,220738,0.01285687104168743
2010,Colorado,4988190,4042039,725413,186366,Oklahoma,3464,220738,0.015692812293306997
2010,Colorado,4988190,4042039,725413,186366,Oregon,4330,220738,0.019616015366633748
2010,Colorado,4988190,4042039,725413,186366,Pennsylvania,3928,220738,0.017794851815274217
2010,Colorado,4988190,4042039,725413,186366,Rhode Island,192,220738,8.698094573657458e-4
2010,Colorado,4988190,4042039,725413,186366,South Carolina,1231,220738,0.005576747093839755
2010,Colorado,4988190,4042039,725413,186366,South Dakota,1847,220738,0.008367385769554857
2010,Colorado,4988190,4042039,725413,186366,Tennessee,1628,220738,0.0073752593572470534
2010,Colorado,4988190,4042039,725413,186366,Texas,22253,220738,0.10081182216020802
2010,Colorado,4988190,4042039,725413,186366,Utah,4748,220738,0.02150966303944042
2010,Colorado,4988190,4042039,725413,186366,Vermont,350,220738,0.0015855901566563075
2010,Colorado,4988190,4042039,725413,186366,Virginia,2739,220738,0.012408375540233217
2010,Colorado,4988190,4042039,725413,186366,Washington,7583,220738,0.03435294330835651
2010,Colorado,4988190,4042039,725413,186366,West Virginia,623,220738,0.0028223504788482275
2010,Colorado,4988190,4042039,725413,186366,Wisconsin,2499,220738,0.011321113718526036
2010,Colorado,4988190,4042039,725413,186366,Wyoming,4418,220738,0.020014678034593048
2010,Colorado,4988190,4042039,725413,186366,Puerto Rico,874,220738,0.003959445134050322
2010,Colorado,4988190,4042039,725413,186366,U S Island Area,125,220738,5.662821988058241e-4
2010,Colorado,4988190,4042039,725413,186366,Foreign Country,33373,220738,0.15118828656597413
2010,Connecticut,3541146,3100742,342904,77333,Alabama,896,97500,0.00918974358974359
2010,Connecticut,3541146,3100742,342904,77333,Alaska,0,97500,0
2010,Connecticut,3541146,3100742,342904,77333,Arizona,664,97500,0.00681025641025641
2010,Connecticut,3541146,3100742,342904,77333,Arkansas,334,97500,0.0034256410256410254
2010,Connecticut,3541146,3100742,342904,77333,California,4479,97500,0.04593846153846154
2010,Connecticut,3541146,3100742,342904,77333,Colorado,547,97500,0.0056102564102564105
2010,Connecticut,3541146,3100742,342904,77333,Connecticut,NA,97500,NA
